Pools;Stake;Share
Single 1291;3045685;0.01
Single 1292;3045685;0.01
Single 1293;3045685;0.01
Single 1294;3045685;0.01
Single 1295;3045685;0.01
Single 1296;3045685;0.01
Single 1297;3045685;0.01
Single 1298;3045685;0.01
Single 1299;3045685;0.01
Single 1300;3045685;0.01
Single 1301;3045685;0.01
Single 1302;3045685;0.01
Single 1303;3045685;0.01
Single 1304;3045685;0.01
Single 1305;3045685;0.01
Single 1306;3045685;0.01
Single 1307;3045685;0.01
Single 1308;3045685;0.01
Single 1309;3045685;0.01
Single 1310;3045685;0.01
Single 1311;3045685;0.01
Single 1312;3045685;0.01
Single 1313;3045685;0.01
Single 1314;3045685;0.01
Single 1315;3045685;0.01
Single 1316;3045685;0.01
Single 1317;3045685;0.01
Single 1318;3045685;0.01
Single 1319;3045685;0.01
Single 1320;3045685;0.01
Single 1321;3045685;0.01
Single 1322;3045685;0.01
Single 1323;3045685;0.01
Single 1324;3045685;0.01
Single 1325;3045685;0.01
Single 1326;3045685;0.01
Single 1327;3045685;0.01
Single 1328;3045685;0.01
Single 1329;3045685;0.01
Single 1330;3045685;0.01
Single 1331;3045685;0.01
Single 1332;3045685;0.01
Single 1333;3045685;0.01
Single 1334;3045685;0.01
Single 1335;3045685;0.01
Single 1336;3045685;0.01
Single 1337;3045685;0.01
Single 1338;3045685;0.01
Single 1339;3045685;0.01
Single 1340;3045685;0.01
Single 1341;3045685;0.01
Single 1342;3045685;0.01
Single 1343;3045685;0.01
Single 1344;3045685;0.01
Single 1345;3045685;0.01
Single 1346;3045685;0.01
Single 1347;3045685;0.01
Single 1348;3045685;0.01
Single 1349;3045685;0.01
Single 1350;3045685;0.01
Single 1351;3045685;0.01
Single 1352;3045685;0.01
Single 1353;3045685;0.01
Single 1354;3045685;0.01
Single 1355;3045685;0.01
Single 1356;3045685;0.01
Single 1357;3045685;0.01
Single 1358;3045685;0.01
Single 1359;3045685;0.01
Single 1360;3045685;0.01
Single 1361;3045685;0.01
Single 1362;3045685;0.01
Single 1363;3045685;0.01
Single 1364;3045685;0.01
Single 1365;3045685;0.01
Single 1366;3045685;0.01
Single 1367;3045685;0.01
Single 1368;3045685;0.01
Single 1369;3045685;0.01
Single 1370;3045685;0.01
Single 1371;3045685;0.01
Single 1372;3045685;0.01
Single 1373;3045685;0.01
Single 1374;3045685;0.01
Single 1375;3045685;0.01
Single 1376;3045685;0.01
Single 1377;3045685;0.01
Single 1378;3045685;0.01
Single 1379;3045685;0.01
Single 1380;3045685;0.01
Single 1381;3045685;0.01
Single 1382;3045685;0.01
Single 1383;3045685;0.01
Single 1384;3045685;0.01
Single 1385;3045685;0.01
Single 1386;3045685;0.01
Single 1387;3045685;0.01
Single 1388;3045685;0.01
Single 1389;3045685;0.01
Single 1390;3045685;0.01
Single 1391;3045685;0.01
Single 1392;3045685;0.01
Single 1393;3045685;0.01
Single 1394;3045685;0.01
Single 1395;3045685;0.01
Single 1396;3045685;0.01
Single 1397;3045685;0.01
Single 1398;3045685;0.01
Single 1399;3045685;0.01
Single 1400;3045685;0.01
Single 1401;3045685;0.01
Single 1402;3045685;0.01
Single 1403;3045685;0.01
Single 1404;3045685;0.01
Single 1405;3045685;0.01
Single 1406;3045685;0.01
Single 1407;3045685;0.01
Single 1408;3045685;0.01
Single 1409;3045685;0.01
Single 1410;3045685;0.01
Single 1411;3045685;0.01
Single 1412;3045685;0.01
Single 1413;3045685;0.01
Single 1414;3045685;0.01
Single 1415;3045685;0.01
Single 1416;3045685;0.01
Single 1417;3045685;0.01
Single 1418;3045685;0.01
Single 1419;3045685;0.01
Single 1420;3045685;0.01
Single 1421;3045685;0.01
Single 1422;3045685;0.01
Single 1423;3045685;0.01
Single 1424;3045685;0.01
Single 1425;3045685;0.01
Single 1426;3045685;0.01
Single 1427;3045685;0.01
Single 1428;3045685;0.01
Single 1429;3045685;0.01
Single 1430;3045685;0.01
Single 1431;3045685;0.01
Single 1432;3045685;0.01
Single 1433;3045685;0.01
Single 1434;3045685;0.01
Single 1435;3045685;0.01
Single 1436;3045685;0.01
Single 1437;3045685;0.01
Single 1438;3045685;0.01
Single 1439;3045685;0.01
Single 1440;3045685;0.01
Single 1441;3045685;0.01
Single 1442;3045685;0.01
Single 1443;3045685;0.01
Single 1444;3045685;0.01
Single 1445;3045685;0.01
Single 1446;3045685;0.01
Single 1447;3045685;0.01
Single 1448;3045685;0.01
Single 1449;3045685;0.01
Single 1450;3045685;0.01
Single 1451;3045685;0.01
Single 1452;3045685;0.01
Single 1453;3045685;0.01
Single 1454;3045685;0.01
Single 1455;3045685;0.01
Single 1456;3045685;0.01
Single 1457;3045685;0.01
Single 1458;3045685;0.01
Single 1459;3045685;0.01
Single 1460;3045685;0.01
Single 1461;3045685;0.01
Single 1462;3045685;0.01
Single 1463;3045685;0.01
Single 1464;3045685;0.01
Single 1465;3045685;0.01
Single 1466;3045685;0.01
Single 1467;3045685;0.01
Single 1468;3045685;0.01
Single 1469;3045685;0.01
Single 1470;3045685;0.01
Single 1471;3045685;0.01
Single 1472;3045685;0.01
Single 1473;3045685;0.01
Single 1474;3045685;0.01
Single 1475;3045685;0.01
Single 1476;3045685;0.01
Single 1477;3045685;0.01
Single 1478;3045685;0.01
Single 1479;3045685;0.01
Single 1480;3045685;0.01
Single 1481;3045685;0.01
Single 1482;3045685;0.01
Single 1483;3045685;0.01
Single 1484;3045685;0.01
Single 1485;3045685;0.01
Single 1486;3045685;0.01
Single 1487;3045685;0.01
Single 1488;3045685;0.01
Single 1489;3045685;0.01
Single 1490;3045685;0.01
Single 1491;3045685;0.01
Single 1492;3045685;0.01
Single 1493;3045685;0.01
Single 1494;3045685;0.01
Single 1495;3045685;0.01
Single 1496;3045685;0.01
Single 1497;3045685;0.01
Single 1498;3045685;0.01
Single 1499;3045685;0.01
Single 1500;3045685;0.01
Single 1501;3045685;0.01
Single 1502;3045685;0.01
Single 1503;3045685;0.01
Single 1504;3045685;0.01
Single 1505;3045685;0.01
Single 1506;3045685;0.01
Single 1507;3045685;0.01
Single 1508;3045685;0.01
Single 1509;3045685;0.01
Single 1510;3045685;0.01
Single 1511;3045685;0.01
Single 1512;3045685;0.01
Single 1513;3045685;0.01
Single 1514;3045685;0.01
Single 1515;3045685;0.01
Single 1516;3045685;0.01
Single 1517;3045685;0.01
Single 1518;3045685;0.01
Single 1519;3045685;0.01
Single 1520;3045685;0.01
Single 1521;3045685;0.01
Single 1522;3045685;0.01
Single 1523;3045685;0.01
Single 1524;3045685;0.01
Single 1525;3045685;0.01
Single 1526;3045685;0.01
Single 1527;3045685;0.01
Single 1528;3045685;0.01
Single 1529;3045685;0.01
Single 1530;3045685;0.01
Single 1531;3045685;0.01
Single 1532;3045685;0.01
Single 1533;3045685;0.01
Single 1534;3045685;0.01
Single 1535;3045685;0.01
Single 1536;3045685;0.01
Single 1537;3045685;0.01
Single 1538;3045685;0.01
Single 1539;3045685;0.01
Single 1540;3045685;0.01
Single 1541;3045685;0.01
Single 1542;3045685;0.01
Single 1543;3045685;0.01
Single 1544;3045685;0.01
Single 1545;3045685;0.01
Single 1546;3045685;0.01
Single 1547;3045685;0.01
Single 1548;3045685;0.01
Single 1549;3045685;0.01
Single 1550;3045685;0.01
Single 1551;3045685;0.01
Single 1552;3045685;0.01
Single 1553;3045685;0.01
Single 1554;3045685;0.01
Single 1555;3045685;0.01
Single 1556;3045685;0.01
Single 1557;3045685;0.01
Single 1558;3045685;0.01
Single 1559;3045685;0.01
Single 1560;3045685;0.01
Single 1561;3045685;0.01
Single 1562;3045685;0.01
Single 1563;3045685;0.01
Single 1564;3045685;0.01
Single 1565;3045685;0.01
Single 1566;3045685;0.01
Single 1567;3045685;0.01
Single 1568;3045685;0.01
Single 1569;3045685;0.01
Single 1570;3045685;0.01
Single 1571;3045685;0.01
Single 1572;3045685;0.01
Single 1573;3045685;0.01
Single 1574;3045685;0.01
Single 1575;3045685;0.01
Single 1576;3045685;0.01
Single 1577;3045685;0.01
Single 1578;3045685;0.01
Single 1579;3045685;0.01
Single 1580;3045685;0.01
Single 1581;3045685;0.01
Single 1582;3045685;0.01
Single 1583;3045685;0.01
Single 1584;3045685;0.01
Single 1585;3045685;0.01
Single 1586;3045685;0.01
Single 1587;3045685;0.01
Single 1588;3045685;0.01
Single 1589;3045685;0.01
Single 1590;3045685;0.01
Single 1591;3045685;0.01
Single 1592;3045685;0.01
Single 1593;3045685;0.01
Single 1594;3045685;0.01
Single 1595;3045685;0.01
Single 1596;3045685;0.01
Single 1597;3045685;0.01
Single 1598;3045685;0.01
Single 1599;3045685;0.01
Single 1600;3045685;0.01
Single 1601;3045685;0.01
Single 1602;3045685;0.01
Single 1603;3045685;0.01
Single 1604;3045685;0.01
Single 1605;3045685;0.01
Single 1606;3045685;0.01
Single 1607;3045685;0.01
Single 1608;3045685;0.01
Single 1609;3045685;0.01
Single 1610;3045685;0.01
Single 1611;3045685;0.01
Single 1612;3045685;0.01
Single 1613;3045685;0.01
Single 1614;3045685;0.01
Single 1615;3045685;0.01
Single 1616;3045685;0.01
Single 1617;3045685;0.01
Single 1618;3045685;0.01
Single 1619;3045685;0.01
Single 1620;3045685;0.01
Single 1621;3045685;0.01
Single 1622;3045685;0.01
Single 1623;3045685;0.01
Single 1624;3045685;0.01
Single 1625;3045685;0.01
Single 1626;3045685;0.01
Single 1627;3045685;0.01
Single 1628;3045685;0.01
Single 1629;3045685;0.01
Single 1630;3045685;0.01
Single 1631;3045685;0.01
Single 1632;3045685;0.01
Single 1633;3045685;0.01
Single 1634;3045685;0.01
Single 1635;3045685;0.01
Single 1636;3045685;0.01
Single 1637;3045685;0.01
Single 1638;3045685;0.01
Single 1639;3045685;0.01
Single 1640;3045685;0.01
Single 1641;3045685;0.01
Single 1642;3045685;0.01
Single 1643;3045685;0.01
Single 1644;3045685;0.01
Single 1645;3045685;0.01
Single 1646;3045685;0.01
Single 1647;3045685;0.01
Single 1648;3045685;0.01
Single 1649;3045685;0.01
Single 1650;3045685;0.01
Single 1651;3045685;0.01
Single 1652;3045685;0.01
Single 1653;3045685;0.01
Single 1654;3045685;0.01
Single 1655;3045685;0.01
Single 1656;3045685;0.01
Single 1657;3045685;0.01
Single 1658;3045685;0.01
Single 1659;3045685;0.01
Single 1660;3045685;0.01
Single 1661;3045685;0.01
Single 1662;3045685;0.01
Single 1663;3045685;0.01
Single 1664;3045685;0.01
Single 1665;3045685;0.01
Single 1666;3045685;0.01
Single 1667;3045685;0.01
Single 1668;3045685;0.01
Single 1669;3045685;0.01
Single 1670;3045685;0.01
Single 1671;3045685;0.01
Single 1672;3045685;0.01
Single 1673;3045685;0.01
Single 1674;3045685;0.01
Single 1675;3045685;0.01
Single 1676;3045685;0.01
Single 1677;3045685;0.01
Single 1678;3045685;0.01
Single 1679;3045685;0.01
Single 1680;3045685;0.01
Single 1681;3045685;0.01
Single 1682;3045685;0.01
Single 1683;3045685;0.01
Single 1684;3045685;0.01
Single 1685;3045685;0.01
Single 1686;3045685;0.01
Single 1687;3045685;0.01
Single 1688;3045685;0.01
Single 1689;3045685;0.01
Single 1690;3045685;0.01
Single 1691;3045685;0.01
Single 1692;3045685;0.01
Single 1693;3045685;0.01
Single 1694;3045685;0.01
Single 1695;3045685;0.01
Single 1696;3045685;0.01
Single 1697;3045685;0.01
Single 1698;3045685;0.01
Single 1699;3045685;0.01
Single 1700;3045685;0.01
Single 1701;3045685;0.01
Single 1702;3045685;0.01
Single 1703;3045685;0.01
Single 1704;3045685;0.01
Single 1705;3045685;0.01
Single 1706;3045685;0.01
Single 1707;3045685;0.01
Single 1708;3045685;0.01
Single 1709;3045685;0.01
Single 1710;3045685;0.01
Single 1711;3045685;0.01
Single 1712;3045685;0.01
Single 1713;3045685;0.01
Single 1714;3045685;0.01
Single 1715;3045685;0.01
Single 1716;3045685;0.01
Single 1717;3045685;0.01
Single 1718;3045685;0.01
Single 1719;3045685;0.01
Single 1720;3045685;0.01
Single 1721;3045685;0.01
Single 1722;3045685;0.01
Single 1723;3045685;0.01
Single 1724;3045685;0.01
Single 1725;3045685;0.01
Single 1726;3045685;0.01
Single 1727;3045685;0.01
Single 1728;3045685;0.01
Single 1729;3045685;0.01
Single 1730;3045685;0.01
Single 1731;3045685;0.01
Single 1732;3045685;0.01
Single 1733;3045685;0.01
Single 1734;3045685;0.01
Single 1735;3045685;0.01
Single 1736;3045685;0.01
Single 1737;3045685;0.01
Single 1738;3045685;0.01
Single 1739;3045685;0.01
Single 1740;3045685;0.01
Single 1741;3045685;0.01
Single 1742;3045685;0.01
Single 1743;3045685;0.01
Single 1744;3045685;0.01
Single 1745;3045685;0.01
Single 1746;3045685;0.01
Single 1747;3045685;0.01
Single 1748;3045685;0.01
Single 1749;3045685;0.01
Single 1750;3045685;0.01
Single 1751;3045685;0.01
Single 1752;3045685;0.01
Single 1753;3045685;0.01
Single 1754;3045685;0.01
Single 1755;3045685;0.01
Single 1756;3045685;0.01
Single 1757;3045685;0.01
Single 1758;3045685;0.01
Single 1759;3045685;0.01
Single 1760;3045685;0.01
Single 1761;3045685;0.01
Single 1762;3045685;0.01
Single 1763;3045685;0.01
Single 1764;3045685;0.01
Single 1765;3045685;0.01
Single 1766;3045685;0.01
Single 1767;3045685;0.01
Single 1768;3045685;0.01
Single 1769;3045685;0.01
Single 1770;3045685;0.01
Single 1771;3045685;0.01
Single 1772;3045685;0.01
Single 1773;3045685;0.01
Single 1774;3045685;0.01
Single 1775;3045685;0.01
Single 1776;3045685;0.01
Single 1777;3045685;0.01
Single 1778;3045685;0.01
Single 1779;3045685;0.01
Single 1780;3045685;0.01
Single 1781;3045685;0.01
Single 1782;3045685;0.01
Single 1783;3045685;0.01
Single 1784;3045685;0.01
Single 1785;3045685;0.01
Single 1786;3045685;0.01
Single 1787;3045685;0.01
Single 1788;3045685;0.01
Single 1789;3045685;0.01
Single 1790;3045685;0.01
Single 1791;3045685;0.01
Single 1792;3045685;0.01
Single 1793;3045685;0.01
Single 1794;3045685;0.01
Single 1795;3045685;0.01
Single 1796;3045685;0.01
Single 1797;3045685;0.01
Single 1798;3045685;0.01
Single 1799;3045685;0.01
Single 1800;3045685;0.01
Single 1801;3045685;0.01
Single 1802;3045685;0.01
Single 1803;3045685;0.01
Single 1804;3045685;0.01
Single 1805;3045685;0.01
Single 1806;3045685;0.01
Single 1807;3045685;0.01
Single 1808;3045685;0.01
Single 1809;3045685;0.01
Single 1810;3045685;0.01
Single 1811;3045685;0.01
Single 1812;3045685;0.01
Single 1813;3045685;0.01
Single 1814;3045685;0.01
Single 1815;3045685;0.01
Single 1816;3045685;0.01
Single 1817;3045685;0.01
Single 1818;3045685;0.01
Single 1819;3045685;0.01
Single 1820;3045685;0.01
Single 1821;3045685;0.01
Single 1822;3045685;0.01
Single 1823;3045685;0.01
Single 1824;3045685;0.01
Single 1825;3045685;0.01
Single 1826;3045685;0.01
Single 1827;3045685;0.01
Single 1828;3045685;0.01
Single 1829;3045685;0.01
Single 1830;3045685;0.01
Single 1831;3045685;0.01
Single 1832;3045685;0.01
Single 1833;3045685;0.01
Single 1834;3045685;0.01
Single 1835;3045685;0.01
Single 1836;3045685;0.01
Single 1837;3045685;0.01
Single 1838;3045685;0.01
Single 1839;3045685;0.01
Single 1840;3045685;0.01
Single 1841;3045685;0.01
Single 1842;3045685;0.01
Single 1843;3045685;0.01
Single 1844;3045685;0.01
Single 1845;3045685;0.01
Single 1846;3045685;0.01
Single 1847;3045685;0.01
Single 1848;3045685;0.01
Single 1849;3045685;0.01
Single 1850;3045685;0.01
Single 1851;3045685;0.01
Single 1852;3045685;0.01
Single 1853;3045685;0.01
Single 1854;3045685;0.01
Single 1855;3045685;0.01
Single 1856;3045685;0.01
Single 1857;3045685;0.01
Single 1858;3045685;0.01
Single 1859;3045685;0.01
Single 1860;3045685;0.01
Single 1861;3045685;0.01
Single 1862;3045685;0.01
Single 1863;3045685;0.01
Single 1864;3045685;0.01
Single 1865;3045685;0.01
Single 1866;3045685;0.01
Single 1867;3045685;0.01
Single 1868;3045685;0.01
Single 1869;3045685;0.01
Single 1870;3045685;0.01
Single 1871;3045685;0.01
Single 1872;3045685;0.01
Single 1873;3045685;0.01
Single 1874;3045685;0.01
Single 1875;3045685;0.01
Single 1876;3045685;0.01
Single 1877;3045685;0.01
Single 1878;3045685;0.01
Single 1879;3045685;0.01
Single 1880;3045685;0.01
Single 1881;3045685;0.01
Single 1882;3045685;0.01
Single 1883;3045685;0.01
Single 1884;3045685;0.01
Single 1885;3045685;0.01
Single 1886;3045685;0.01
Single 1887;3045685;0.01
Single 1888;3045685;0.01
Single 1889;3045685;0.01
Single 1890;3045685;0.01
Single 1891;3045685;0.01
Single 1892;3045685;0.01
Single 1893;3045685;0.01
Single 1894;3045685;0.01
Single 1895;3045685;0.01
Single 1896;3045685;0.01
Single 1897;3045685;0.01
Single 1898;3045685;0.01
Single 1899;3045685;0.01
Single 1900;3045685;0.01
Single 1901;3045685;0.01
Single 1902;3045685;0.01
Single 1903;3045685;0.01
Single 1904;3045685;0.01
Single 1905;3045685;0.01
Single 1906;3045685;0.01
Single 1907;3045685;0.01
Single 1908;3045685;0.01
Single 1909;3045685;0.01
Single 1910;3045685;0.01
Single 1911;3045685;0.01
Single 1912;3045685;0.01
Single 1913;3045685;0.01
Single 1914;3045685;0.01
Single 1915;3045685;0.01
Single 1916;3045685;0.01
Single 1917;3045685;0.01
Single 1918;3045685;0.01
Single 1919;3045685;0.01
Single 1920;3045685;0.01
Single 1921;3045685;0.01
Single 1922;3045685;0.01
Single 1923;3045685;0.01
Single 1924;3045685;0.01
Single 1925;3045685;0.01
Single 1926;3045685;0.01
Single 1927;3045685;0.01
Single 1928;3045685;0.01
Single 1929;3045685;0.01
Single 1930;3045685;0.01
Single 1931;3045685;0.01
Single 1932;3045685;0.01
Single 1933;3045685;0.01
Single 1934;3045685;0.01
Single 1935;3045685;0.01
Single 1936;3045685;0.01
Single 1937;3045685;0.01
Single 1938;3045685;0.01
Single 1939;3045685;0.01
Single 1940;3045685;0.01
Single 1941;3045685;0.01
Single 1942;3045685;0.01
Single 1943;3045685;0.01
Single 1944;3045685;0.01
Single 1945;3045685;0.01
Single 1946;3045685;0.01
Single 1947;3045685;0.01
Single 1948;3045685;0.01
Single 1949;3045685;0.01
Single 1950;3045685;0.01
Single 1951;3045685;0.01
Single 1952;3045685;0.01
Single 1953;3045685;0.01
Single 1954;3045685;0.01
Single 1955;3045685;0.01
Single 1956;3045685;0.01
Single 1957;3045685;0.01
Single 1958;3045685;0.01
Single 1959;3045685;0.01
Single 1960;3045685;0.01
Single 1961;3045685;0.01
Single 1962;3045685;0.01
Single 1963;3045685;0.01
Single 1964;3045685;0.01
Single 1965;3045685;0.01
Single 1966;3045685;0.01
Single 1967;3045685;0.01
Single 1968;3045685;0.01
Single 1969;3045685;0.01
Single 1970;3045685;0.01