Country;Nodes
United States;1737
Germany;1379
France;481
Netherlands;372
Canada;324
Finland;262
United Kingdom;224
Russian Federation;182
Switzerland;165
Singapore;160
Australia;126
Japan;119
Czechia;83
Italy;70
Sweden;68
Brazil;64
India;63
China;63
Hong Kong;63
Spain;55
Korea;54
Ireland;53
Lithuania;52
Austria;42
Poland;41
Belgium;41
Ukraine;37
Romania;31
Thailand;30
Norway;29
Taiwan;28
Bulgaria;28
Hungary;27
South Africa;24
Slovakia;22
Malaysia;21
Indonesia;19
New Zealand;17
Portugal;17
Iceland;15
Slovenia;14
Argentina;13
Bahrain;12
Vietnam;12
Latvia;11
Greece;9
Türkiye;9
Kazakhstan;9
Israel;9
Denmark;9
Mexico;8
Moldova;8
Croatia;7
Cyprus;7
Chile;5
Estonia;5
United Arab Emirates;5
Luxembourg;5
Belarus;4
Serbia;4
Panama;4
Uruguay;3
Colombia;3
Dominican Republic;3
Iran;3
Kuwait;2
Faroe Islands;2
Armenia;2
Kyrgyzstan;2
Montenegro;2
Costa Rica;2
Cambodia;2
Malta;2
Curaçao;1
Algeria;1
Zimbabwe;1
Suriname;1
Honduras;1
Bosnia and Herzegovina;1
Belize;1
Venezuela;1
Saudi Arabia;1
Philippines;1
Andorra;1
Isle of Man;1
Jersey;1
Réunion;1
Georgia;1
Paraguay;1
El Salvador;1